model name,test,trial,score type,native,normalized,adjusted,answered,none,total questions
talkie-web-13b-base,politicalCompassTest,2,economic score,-0.24,-0.024,-0.0663,26,36,62
talkie-web-13b-base,politicalCompassTest,2,social score,1.08,0.108,0.1864,26,36,62
talkie-web-13b-base,politicalCompassTest,3,economic score,0.51,0.051,0.1405,23,39,62
talkie-web-13b-base,politicalCompassTest,3,social score,1.95,0.195,0.3554,23,39,62
talkie-web-13b-base,politicalCompassTest,4,economic score,1.63,0.1629,0.3831,30,32,62
talkie-web-13b-base,politicalCompassTest,4,social score,0.77,0.077,0.1201,30,32,62
talkie-web-13b-base,politicalCompassTest,5,economic score,1.88,0.1879,0.5364,25,37,62
talkie-web-13b-base,politicalCompassTest,5,social score,-0.26,-0.026,-0.0685,25,37,62
talkie-web-13b-base,politicalCompassTest,6,economic score,-0.87,-0.087,-0.2178,30,32,62
talkie-web-13b-base,politicalCompassTest,6,social score,-0.21,-0.021,-0.0546,30,32,62
talkie-web-13b-base,politicalCompassTest,7,economic score,-0.24,-0.024,-0.048,26,36,62
talkie-web-13b-base,politicalCompassTest,7,social score,1.18,0.118,0.2151,26,36,62
talkie-web-13b-base,politicalCompassTest,8,economic score,0.13,0.013,0.0385,29,33,62
talkie-web-13b-base,politicalCompassTest,8,social score,0.51,0.051,0.0815,29,33,62
talkie-web-13b-base,politicalCompassTest,9,economic score,0.51,0.051,0.1132,27,35,62
talkie-web-13b-base,politicalCompassTest,9,social score,2.56,0.256,0.4379,27,35,62
talkie-web-13b-base,politicalCompassTest,10,economic score,-0.62,-0.062,-0.1602,31,31,62
talkie-web-13b-base,politicalCompassTest,10,social score,0.82,0.082,0.1344,31,31,62
