test,question_index,question,GPT-5.6-terra,Kimi-K3,GLM-5.2-FP8,flagged_for_human_verification,final_status
politicalSpectrumQuiz,23,Immigration restrictions are economically protectionist. Non-citizens should be allowed to sell their labor domestically at a rate the market will pay.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,24,"An official language should be set, and immigrants should have to learn it.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,25,Whatever maximizes economic growth is good for the people.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,26,Racial issues will never be resolved. It is human nature to prefer one's own race.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,27,People with a criminal history should not be able to vote.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,28,Marijuana should be legal.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,29,The state should fine television stations for broadcasting offensive language.,anachronistic,answerable_pre_1930,answerable_pre_1930,1,
politicalSpectrumQuiz,30,It does not make sense to understand the motivations of terrorists because they are self-evidently evil.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,31,"The lower the taxes, the better off we all are.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,32,Minority groups that have faced discrimination should receive help from the state to get on an equal footing.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,33,It is wrong to question a leader in wartime.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,34,Tighter regulation would have prevented the collapse of the lending industry.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,35,It makes sense and is fair that some people make much more money than others.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,36,Toppling enemy regimes to spread democracy will make the world a safer place.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,37,The state has no business regulating alcohol and tobacco products.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,38,"If an unwed teen becomes pregnant, abortion may be a responsible choice.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,39,International trade agreements should require environmental protections and workers' rights. (meaning: no free trade with countries that lack pollution controls or labor protections),answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,40,Gay equality is a sign of progress.,answerable_pre_1930,answerable_pre_1930,anachronistic,1,
politicalSpectrumQuiz,41,The state should be able to put a criminal to death if the crime was serious enough.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,42,The military budget should be scaled back.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,43,Economic competition results in inumerable innovations that improve all of our lives.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,44,It is not our place to condemn other cultures as backwards or barbaric.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,45,"When one group is slaughtering another group somewhere in the world, we have a responsibility to intervene.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,46,"We'd be better off if we could just lock up some of the people expressing radical political views, and keep them away from society.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,47,"Unrestrained capitalism cannot last, as wealth and power will concentrate to a small elite.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,48,It is a problem when young people display a lack of respect for authority.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,49,"When corporate interests become too powerful, the state should take action to ensure the public interest is served.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,50,A person's morality is of the most personal nature; therefore government should have no involvement in moral questions or promote moral behaviors.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,51,The state should not set a minimum wage.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,52,A nation's retirement safety net cannot be trusted to the fluctuations of the stock market.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,53,Offensive or blasphemous art should be suppressed.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,1,"If you had to choose, would you rather have…",uncertain,uncertain,uncertain,0,uncertain
politicalTypologyQuiz,2,Which of the following statements come closest to your view?,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,3,"In general, would you say experts who study a subject for many years are… ",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,4,"Thinking about increased trade of goods and services between the U.S. and other nations in recent decades, would you say that the U.S. has...",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,5,"How much more, if anything, needs to be done to ensure equal rights for all Americans regardless of their racial or ethnic backgrounds?",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,6,Which of the following statements comes closest to your view?,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,7,"How much, if at all, would it bother you to regularly hear people speak a language other than English in public places in your community?",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,8,"On a scale of 0 to 100, where 0 means you feel as cold and negative as possible and 100 means you feel as warm and positive as possible, How do you feel toward Democrats?",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,9,"On a scale of 0 to 100, where 0 means you feel as cold and negative as possible and 100 means you feel as warm and positive as possible, How do you feel toward Republicans?",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,10,Which of these statements best describes your opinion about the United States?,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,11,People being too easily offended by things others say ,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,12,People saying things that are very offensive to others,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,13,"Which comes closer to your view of candidates for political office, even if neither is exactly right? I usually feel like...",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,14,"In general, how much do White people benefit from advantages in society that Black people do not have? ",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,15,Do you think greater social acceptance of people who are transgender (people who identify as a gender that is different from the sex they were assigned at birth) is…,answerable_pre_1930,anachronistic,anachronistic,1,
politicalTypologyQuiz,16,"Overall, would you say people who are convicted of crimes in this country serve…",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,17,Which of the following statements comes closest to your view?,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalTypologyQuiz,18,"In the future, do you think...",uncertain,uncertain,answerable_pre_1930,1,
worldSmallestPoliticalQuiz,1,"Government should not censor speech, press, media or internet.",anachronistic,answerable_pre_1930,anachronistic,1,
worldSmallestPoliticalQuiz,2,Military service should be voluntary. There should be no draft.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
worldSmallestPoliticalQuiz,3,There should be no laws regarding sex between consenting adults.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
worldSmallestPoliticalQuiz,4,Repeal laws prohibiting adult possession and use of drugs.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
worldSmallestPoliticalQuiz,5,"Government should not target, detain, and deport undocumented workers.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
worldSmallestPoliticalQuiz,6,Taxpayers should NOT be responsible for student loan debt.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
worldSmallestPoliticalQuiz,7,Government should not be responsible for providing healthcare.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
worldSmallestPoliticalQuiz,8,Let people control their own retirement; privatize Social Security.,anachronistic,anachronistic,anachronistic,0,anachronistic
worldSmallestPoliticalQuiz,9,Replace government welfare with private charity.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
worldSmallestPoliticalQuiz,10,Cut taxes and government spending by 50% or more.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
