model name,test,score type,mean,std
meta-llama/Llama-2-70b-hf,iSideWithUK,Labour,55.3,10.1
meta-llama/Llama-2-70b-hf,iSideWithUK,Democratic Unionist,49.0,14.18
meta-llama/Llama-2-70b-hf,iSideWithUK,Liberal Democrat,54.4,8.37
meta-llama/Llama-2-70b-hf,iSideWithUK,Sinn Féin,51.0,11.75
tiiuae/falcon-180B-chat,politicalCompassTest,economic score,-1.17,0.83
tiiuae/falcon-180B-chat,politicalCompassTest,social score,-0.95,0.73
tiiuae/falcon-180B-chat,politicalSpectrumQuiz,economic score,-2.67,0.58
tiiuae/falcon-180B-chat,politicalSpectrumQuiz,social score,-0.1,0.31
tiiuae/falcon-180B-chat,worldSmallestPoliticalQuiz,economic issues score,12.0,8.72
tiiuae/falcon-180B-chat,worldSmallestPoliticalQuiz,personal issues score,75.0,14.32
tiiuae/falcon-180B-chat,politicalCoordinatesTest,economic score,-12.76,11.2
tiiuae/falcon-180B-chat,politicalCoordinatesTest,social score,-25.83,7.26
tiiuae/falcon-180B-chat,eysenckPoliticalTest,radical to traditional score,-12.92,8.21
tiiuae/falcon-180B-chat,eysenckPoliticalTest,tough to tender score,38.76,9.53
tiiuae/falcon-180B-chat,ideologiesTest,progressivism score,59.6,3.67
tiiuae/falcon-180B-chat,ideologiesTest,left liberalism score,54.9,3.99
tiiuae/falcon-180B-chat,ideologiesTest,right liberalism score,54.7,4.47
tiiuae/falcon-180B-chat,ideologiesTest,hard right score,30.8,11.39
tiiuae/falcon-180B-chat,eightValuesPoliticalTest,equality score,62.05,2.54
tiiuae/falcon-180B-chat,eightValuesPoliticalTest,markets score,37.95,2.54
tiiuae/falcon-180B-chat,eightValuesPoliticalTest,world score,57.95,1.73
tiiuae/falcon-180B-chat,eightValuesPoliticalTest,nation score,42.05,1.73
tiiuae/falcon-180B-chat,eightValuesPoliticalTest,liberty score,50.44,4.47
tiiuae/falcon-180B-chat,eightValuesPoliticalTest,authority score,49.56,4.47
tiiuae/falcon-180B-chat,eightValuesPoliticalTest,progress score,54.41,4.89
tiiuae/falcon-180B-chat,eightValuesPoliticalTest,tradition score,45.59,4.89
tiiuae/falcon-180B-chat,nolanTest,economic score,50.5,9.07
tiiuae/falcon-180B-chat,nolanTest,social score,66.5,5.5
tiiuae/falcon-180B-chat,iSideWithUS,Republican,21.6,6.09
tiiuae/falcon-180B-chat,iSideWithUS,Democratic,82.2,2.4
tiiuae/falcon-180B-chat,iSideWithUS,Libertarian,46.5,5.92
tiiuae/falcon-180B-chat,iSideWithUS,Green,84.9,4.11
tiiuae/falcon-180B-chat,iSideWithUK,Conservative,43.6,6.87
tiiuae/falcon-180B-chat,iSideWithUK,Labour,82.0,5.12
tiiuae/falcon-180B-chat,iSideWithUK,Democratic Unionist,24.3,8.61
tiiuae/falcon-180B-chat,iSideWithUK,Liberal Democrat,80.9,4.53
tiiuae/falcon-180B-chat,iSideWithUK,Sinn Féin,83.0,4.2
mistralai/Mistral-7B-Instruct-v0.2,politicalCompassTest,economic score,-3.46,0.59
mistralai/Mistral-7B-Instruct-v0.2,politicalCompassTest,social score,-4.53,0.39
mistralai/Mistral-7B-Instruct-v0.2,politicalSpectrumQuiz,economic score,-2.95,0.74
mistralai/Mistral-7B-Instruct-v0.2,politicalSpectrumQuiz,social score,0.47,0.53
mistralai/Mistral-7B-Instruct-v0.2,worldSmallestPoliticalQuiz,economic issues score,24.0,8.0
mistralai/Mistral-7B-Instruct-v0.2,worldSmallestPoliticalQuiz,personal issues score,63.0,6.4
mistralai/Mistral-7B-Instruct-v0.2,politicalCoordinatesTest,economic score,-8.34,5.86
mistralai/Mistral-7B-Instruct-v0.2,politicalCoordinatesTest,social score,-4.33,5.88
mistralai/Mistral-7B-Instruct-v0.2,eysenckPoliticalTest,radical to traditional score,-14.16,6.51
mistralai/Mistral-7B-Instruct-v0.2,eysenckPoliticalTest,tough to tender score,25.42,6.57
mistralai/Mistral-7B-Instruct-v0.2,ideologiesTest,progressivism score,57.2,1.89
mistralai/Mistral-7B-Instruct-v0.2,ideologiesTest,left liberalism score,50.2,1.66
mistralai/Mistral-7B-Instruct-v0.2,ideologiesTest,right liberalism score,51.5,2.01
mistralai/Mistral-7B-Instruct-v0.2,ideologiesTest,hard right score,43.6,3.01
mistralai/Mistral-7B-Instruct-v0.2,eightValuesPoliticalTest,equality score,61.68,2.78
mistralai/Mistral-7B-Instruct-v0.2,eightValuesPoliticalTest,markets score,38.32,2.78
mistralai/Mistral-7B-Instruct-v0.2,eightValuesPoliticalTest,world score,55.06,1.76
mistralai/Mistral-7B-Instruct-v0.2,eightValuesPoliticalTest,nation score,44.94,1.76
mistralai/Mistral-7B-Instruct-v0.2,eightValuesPoliticalTest,liberty score,49.84,1.12
mistralai/Mistral-7B-Instruct-v0.2,eightValuesPoliticalTest,authority score,50.16,1.12
mistralai/Mistral-7B-Instruct-v0.2,eightValuesPoliticalTest,progress score,58.13,1.65
mistralai/Mistral-7B-Instruct-v0.2,eightValuesPoliticalTest,tradition score,41.87,1.65
mistralai/Mistral-7B-Instruct-v0.2,nolanTest,economic score,57.0,10.54
mistralai/Mistral-7B-Instruct-v0.2,nolanTest,social score,58.5,5.02
mistralai/Mistral-7B-Instruct-v0.2,iSideWithUS,Republican,24.2,8.44
mistralai/Mistral-7B-Instruct-v0.2,iSideWithUS,Democratic,89.2,4.09
mistralai/Mistral-7B-Instruct-v0.2,iSideWithUS,Libertarian,30.7,9.22
mistralai/Mistral-7B-Instruct-v0.2,iSideWithUS,Green,85.1,3.62
mistralai/Mistral-7B-Instruct-v0.2,iSideWithUK,Conservative,53.2,6.76
mistralai/Mistral-7B-Instruct-v0.2,iSideWithUK,Labour,85.8,3.76
mistralai/Mistral-7B-Instruct-v0.2,iSideWithUK,Democratic Unionist,29.1,6.53
mistralai/Mistral-7B-Instruct-v0.2,iSideWithUK,Liberal Democrat,79.1,4.93
mistralai/Mistral-7B-Instruct-v0.2,iSideWithUK,Sinn Féin,79.2,3.03
openchat/openchat-3.5-1210,politicalCompassTest,economic score,-3.35,0.97
openchat/openchat-3.5-1210,politicalCompassTest,social score,-3.56,0.41
openchat/openchat-3.5-1210,politicalSpectrumQuiz,economic score,-2.75,1.06
openchat/openchat-3.5-1210,politicalSpectrumQuiz,social score,0.07,0.62
openchat/openchat-3.5-1210,worldSmallestPoliticalQuiz,economic issues score,28.0,16.0
openchat/openchat-3.5-1210,worldSmallestPoliticalQuiz,personal issues score,69.0,9.43
openchat/openchat-3.5-1210,politicalCoordinatesTest,economic score,-20.82,5.17
openchat/openchat-3.5-1210,politicalCoordinatesTest,social score,-20.55,6.59
openchat/openchat-3.5-1210,eysenckPoliticalTest,radical to traditional score,-14.36,7.38
openchat/openchat-3.5-1210,eysenckPoliticalTest,tough to tender score,28.7,6.34
openchat/openchat-3.5-1210,ideologiesTest,progressivism score,61.2,2.93
openchat/openchat-3.5-1210,ideologiesTest,left liberalism score,49.9,2.7
openchat/openchat-3.5-1210,ideologiesTest,right liberalism score,51.8,2.64
openchat/openchat-3.5-1210,ideologiesTest,hard right score,36.9,5.91
openchat/openchat-3.5-1210,eightValuesPoliticalTest,equality score,61.6,3.03
openchat/openchat-3.5-1210,eightValuesPoliticalTest,markets score,38.4,3.03
openchat/openchat-3.5-1210,eightValuesPoliticalTest,world score,55.56,3.17
openchat/openchat-3.5-1210,eightValuesPoliticalTest,nation score,44.44,3.17
openchat/openchat-3.5-1210,eightValuesPoliticalTest,liberty score,50.72,1.71
openchat/openchat-3.5-1210,eightValuesPoliticalTest,authority score,49.28,1.71
openchat/openchat-3.5-1210,eightValuesPoliticalTest,progress score,61.06,2.78
openchat/openchat-3.5-1210,eightValuesPoliticalTest,tradition score,38.94,2.78
openchat/openchat-3.5-1210,nolanTest,economic score,54.0,4.9
openchat/openchat-3.5-1210,nolanTest,social score,52.5,6.42
openchat/openchat-3.5-1210,iSideWithUS,Republican,11.5,5.14
openchat/openchat-3.5-1210,iSideWithUS,Democratic,90.3,1.42
openchat/openchat-3.5-1210,iSideWithUS,Libertarian,26.1,4.57
openchat/openchat-3.5-1210,iSideWithUS,Green,89.9,2.3
openchat/openchat-3.5-1210,iSideWithUK,Conservative,42.3,7.58
openchat/openchat-3.5-1210,iSideWithUK,Labour,89.2,3.46
openchat/openchat-3.5-1210,iSideWithUK,Democratic Unionist,19.0,8.25
openchat/openchat-3.5-1210,iSideWithUK,Liberal Democrat,85.8,3.43
openchat/openchat-3.5-1210,iSideWithUK,Sinn Féin,84.2,4.96
mistralai/Mixtral-8x7B-Instruct-v0.1,politicalCompassTest,economic score,-5.48,0.78
mistralai/Mixtral-8x7B-Instruct-v0.1,politicalCompassTest,social score,-5.32,0.44
mistralai/Mixtral-8x7B-Instruct-v0.1,politicalSpectrumQuiz,economic score,-5.19,0.66
mistralai/Mixtral-8x7B-Instruct-v0.1,politicalSpectrumQuiz,social score,-1.54,0.54
mistralai/Mixtral-8x7B-Instruct-v0.1,worldSmallestPoliticalQuiz,economic issues score,26.0,8.0
mistralai/Mixtral-8x7B-Instruct-v0.1,worldSmallestPoliticalQuiz,personal issues score,94.0,6.63
mistralai/Mixtral-8x7B-Instruct-v0.1,politicalCoordinatesTest,economic score,-14.72,4.64
mistralai/Mixtral-8x7B-Instruct-v0.1,politicalCoordinatesTest,social score,-38.05,4.64
mistralai/Mixtral-8x7B-Instruct-v0.1,eysenckPoliticalTest,radical to traditional score,-13.33,5.2
mistralai/Mixtral-8x7B-Instruct-v0.1,eysenckPoliticalTest,tough to tender score,56.67,5.96
mistralai/Mixtral-8x7B-Instruct-v0.1,ideologiesTest,progressivism score,67.5,2.66
mistralai/Mixtral-8x7B-Instruct-v0.1,ideologiesTest,left liberalism score,59.0,1.61
mistralai/Mixtral-8x7B-Instruct-v0.1,ideologiesTest,right liberalism score,53.1,2.59
mistralai/Mixtral-8x7B-Instruct-v0.1,ideologiesTest,hard right score,11.9,2.39
mistralai/Mixtral-8x7B-Instruct-v0.1,eightValuesPoliticalTest,equality score,70.59,1.99
mistralai/Mixtral-8x7B-Instruct-v0.1,eightValuesPoliticalTest,markets score,29.41,1.99
mistralai/Mixtral-8x7B-Instruct-v0.1,eightValuesPoliticalTest,world score,59.72,1.81
mistralai/Mixtral-8x7B-Instruct-v0.1,eightValuesPoliticalTest,nation score,40.28,1.81
mistralai/Mixtral-8x7B-Instruct-v0.1,eightValuesPoliticalTest,liberty score,61.26,2.33
mistralai/Mixtral-8x7B-Instruct-v0.1,eightValuesPoliticalTest,authority score,38.74,2.33
mistralai/Mixtral-8x7B-Instruct-v0.1,eightValuesPoliticalTest,progress score,65.47,2.18
mistralai/Mixtral-8x7B-Instruct-v0.1,eightValuesPoliticalTest,tradition score,34.53,2.18
mistralai/Mixtral-8x7B-Instruct-v0.1,nolanTest,economic score,51.0,3.0
mistralai/Mixtral-8x7B-Instruct-v0.1,nolanTest,social score,68.0,6.4
mistralai/Mixtral-8x7B-Instruct-v0.1,iSideWithUS,Republican,18.1,4.93
mistralai/Mixtral-8x7B-Instruct-v0.1,iSideWithUS,Democratic,87.3,1.85
mistralai/Mixtral-8x7B-Instruct-v0.1,iSideWithUS,Libertarian,38.0,5.76
mistralai/Mixtral-8x7B-Instruct-v0.1,iSideWithUS,Green,87.3,2.28
mistralai/Mixtral-8x7B-Instruct-v0.1,iSideWithUK,Conservative,41.6,6.09
mistralai/Mixtral-8x7B-Instruct-v0.1,iSideWithUK,Labour,89.7,2.0
mistralai/Mixtral-8x7B-Instruct-v0.1,iSideWithUK,Democratic Unionist,18.5,3.56
mistralai/Mixtral-8x7B-Instruct-v0.1,iSideWithUK,Liberal Democrat,83.9,3.01
mistralai/Mixtral-8x7B-Instruct-v0.1,iSideWithUK,Sinn Féin,86.0,1.79
gemini-pro,politicalCompassTest,economic score,-7.07,0.63
gemini-pro,politicalCompassTest,social score,-6.8,0.56
gemini-pro,politicalSpectrumQuiz,economic score,-5.48,1.0
gemini-pro,politicalSpectrumQuiz,social score,-2.09,0.64
gemini-pro,worldSmallestPoliticalQuiz,economic issues score,20.0,10.95
gemini-pro,worldSmallestPoliticalQuiz,personal issues score,75.0,9.22
gemini-pro,politicalCoordinatesTest,economic score,-13.61,6.96
gemini-pro,politicalCoordinatesTest,social score,-45.0,15.05
gemini-pro,eysenckPoliticalTest,radical to traditional score,-17.11,18.67
gemini-pro,eysenckPoliticalTest,tough to tender score,83.8,4.58
gemini-pro,ideologiesTest,progressivism score,73.9,5.41
gemini-pro,ideologiesTest,left liberalism score,59.5,3.56
gemini-pro,ideologiesTest,right liberalism score,57.8,2.27
gemini-pro,ideologiesTest,hard right score,12.7,10.45
gemini-pro,eightValuesPoliticalTest,equality score,77.96,3.48
gemini-pro,eightValuesPoliticalTest,markets score,22.04,3.48
gemini-pro,eightValuesPoliticalTest,world score,66.12,3.59
gemini-pro,eightValuesPoliticalTest,nation score,33.88,3.59
gemini-pro,eightValuesPoliticalTest,liberty score,61.47,5.75
gemini-pro,eightValuesPoliticalTest,authority score,38.53,5.75
gemini-pro,eightValuesPoliticalTest,progress score,67.38,2.69
gemini-pro,eightValuesPoliticalTest,tradition score,32.62,2.69
gemini-pro,nolanTest,economic score,63.5,3.2
gemini-pro,nolanTest,social score,58.0,5.57
gemini-pro,iSideWithUS,Republican,21.2,11.12
gemini-pro,iSideWithUS,Democratic,81.9,6.7
gemini-pro,iSideWithUS,Libertarian,40.5,10.87
gemini-pro,iSideWithUS,Green,84.4,4.39
gemini-pro,iSideWithUK,Conservative,38.4,9.18
gemini-pro,iSideWithUK,Labour,87.1,3.83
gemini-pro,iSideWithUK,Democratic Unionist,18.1,5.26
gemini-pro,iSideWithUK,Liberal Democrat,81.5,3.17
gemini-pro,iSideWithUK,Sinn Féin,86.5,2.46
claude-2.1,politicalCompassTest,economic score,-2.04,0.35
claude-2.1,politicalCompassTest,social score,-2.71,0.36
claude-2.1,politicalSpectrumQuiz,economic score,-1.98,0.28
claude-2.1,politicalSpectrumQuiz,social score,-1.44,0.45
claude-2.1,worldSmallestPoliticalQuiz,economic issues score,2.0,6.0
claude-2.1,worldSmallestPoliticalQuiz,personal issues score,0.0,0.0
claude-2.1,politicalCoordinatesTest,economic score,-25.84,2.52
claude-2.1,politicalCoordinatesTest,social score,-26.12,1.86
claude-2.1,eysenckPoliticalTest,radical to traditional score,-8.74,3.46
claude-2.1,eysenckPoliticalTest,tough to tender score,40.84,4.09
claude-2.1,ideologiesTest,progressivism score,58.1,0.3
claude-2.1,ideologiesTest,left liberalism score,53.5,0.5
claude-2.1,ideologiesTest,right liberalism score,53.6,0.66
claude-2.1,ideologiesTest,hard right score,34.0,1.9
claude-2.1,eightValuesPoliticalTest,equality score,65.5,1.17
claude-2.1,eightValuesPoliticalTest,markets score,34.5,1.17
claude-2.1,eightValuesPoliticalTest,world score,64.34,1.32
claude-2.1,eightValuesPoliticalTest,nation score,35.66,1.32
claude-2.1,eightValuesPoliticalTest,liberty score,55.37,1.46
claude-2.1,eightValuesPoliticalTest,authority score,44.63,1.46
claude-2.1,eightValuesPoliticalTest,progress score,59.14,0.96
claude-2.1,eightValuesPoliticalTest,tradition score,40.86,0.96
claude-2.1,nolanTest,economic score,77.0,7.48
claude-2.1,nolanTest,social score,75.5,6.5
claude-2.1,iSideWithUS,Republican,67.1,8.46
claude-2.1,iSideWithUS,Democratic,30.7,10.79
claude-2.1,iSideWithUS,Libertarian,67.7,6.28
claude-2.1,iSideWithUS,Green,41.2,7.4
claude-2.1,iSideWithUK,Conservative,54.5,5.59
claude-2.1,iSideWithUK,Labour,59.4,5.62
claude-2.1,iSideWithUK,Democratic Unionist,36.4,6.31
claude-2.1,iSideWithUK,Liberal Democrat,66.6,7.68
claude-2.1,iSideWithUK,Sinn Féin,72.4,4.59
claude-instant-1,politicalCompassTest,economic score,-4.3,0.95
claude-instant-1,politicalCompassTest,social score,-3.53,0.47
claude-instant-1,politicalSpectrumQuiz,economic score,-1.93,1.22
claude-instant-1,politicalSpectrumQuiz,social score,-0.08,0.34
claude-instant-1,worldSmallestPoliticalQuiz,economic issues score,46.0,11.14
claude-instant-1,worldSmallestPoliticalQuiz,personal issues score,54.0,6.63
claude-instant-1,politicalCoordinatesTest,economic score,-5.54,6.29
claude-instant-1,politicalCoordinatesTest,social score,-10.5,6.63
claude-instant-1,eysenckPoliticalTest,radical to traditional score,-7.87,5.36
claude-instant-1,eysenckPoliticalTest,tough to tender score,26.39,14.43
claude-instant-1,ideologiesTest,progressivism score,62.1,5.49
claude-instant-1,ideologiesTest,left liberalism score,49.6,1.36
claude-instant-1,ideologiesTest,right liberalism score,54.1,1.64
claude-instant-1,ideologiesTest,hard right score,39.4,5.82
claude-instant-1,eightValuesPoliticalTest,equality score,57.82,1.82
claude-instant-1,eightValuesPoliticalTest,markets score,42.18,1.82
claude-instant-1,eightValuesPoliticalTest,world score,57.46,3.21
claude-instant-1,eightValuesPoliticalTest,nation score,42.54,3.21
claude-instant-1,eightValuesPoliticalTest,liberty score,54.15,3.02
claude-instant-1,eightValuesPoliticalTest,authority score,45.85,3.02
claude-instant-1,eightValuesPoliticalTest,progress score,56.38,2.23
claude-instant-1,eightValuesPoliticalTest,tradition score,43.62,2.23
claude-instant-1,nolanTest,economic score,60.5,7.89
claude-instant-1,nolanTest,social score,70.0,3.87
claude-instant-1,iSideWithUS,Republican,27.8,7.03
claude-instant-1,iSideWithUS,Democratic,74.8,6.19
claude-instant-1,iSideWithUS,Libertarian,51.0,7.46
claude-instant-1,iSideWithUS,Green,82.5,2.87
claude-instant-1,iSideWithUK,Conservative,48.3,9.98
claude-instant-1,iSideWithUK,Labour,81.1,5.86
claude-instant-1,iSideWithUK,Democratic Unionist,25.9,6.32
claude-instant-1,iSideWithUK,Liberal Democrat,84.0,3.44
claude-instant-1,iSideWithUK,Sinn Féin,86.2,4.38
wizardlm-70b,politicalCompassTest,economic score,-3.96,1.21
wizardlm-70b,politicalCompassTest,social score,-5.17,0.39
wizardlm-70b,politicalSpectrumQuiz,economic score,-4.38,0.8
wizardlm-70b,politicalSpectrumQuiz,social score,-0.46,0.92
wizardlm-70b,worldSmallestPoliticalQuiz,economic issues score,31.0,15.78
wizardlm-70b,worldSmallestPoliticalQuiz,personal issues score,92.0,7.48
wizardlm-70b,politicalCoordinatesTest,economic score,-9.26,8.58
wizardlm-70b,politicalCoordinatesTest,social score,-14.51,7.83
wizardlm-70b,eysenckPoliticalTest,radical to traditional score,-20.83,8.74
wizardlm-70b,eysenckPoliticalTest,tough to tender score,30.84,7.73
wizardlm-70b,ideologiesTest,progressivism score,68.5,2.87
wizardlm-70b,ideologiesTest,left liberalism score,55.2,3.63
wizardlm-70b,ideologiesTest,right liberalism score,53.2,4.64
wizardlm-70b,ideologiesTest,hard right score,23.3,4.98
wizardlm-70b,eightValuesPoliticalTest,equality score,71.35,2.34
wizardlm-70b,eightValuesPoliticalTest,markets score,28.65,2.34
wizardlm-70b,eightValuesPoliticalTest,world score,55.67,4.14
wizardlm-70b,eightValuesPoliticalTest,nation score,44.33,4.14
wizardlm-70b,eightValuesPoliticalTest,liberty score,54.46,2.72
wizardlm-70b,eightValuesPoliticalTest,authority score,45.54,2.72
wizardlm-70b,eightValuesPoliticalTest,progress score,62.39,1.99
wizardlm-70b,eightValuesPoliticalTest,tradition score,37.61,1.99
wizardlm-70b,nolanTest,economic score,40.5,6.5
wizardlm-70b,nolanTest,social score,55.0,7.42
wizardlm-70b,iSideWithUS,Republican,16.5,4.22
wizardlm-70b,iSideWithUS,Democratic,88.9,3.75
wizardlm-70b,iSideWithUS,Libertarian,20.2,7.22
wizardlm-70b,iSideWithUS,Green,89.2,2.89
wizardlm-70b,iSideWithUK,Conservative,45.0,9.85
wizardlm-70b,iSideWithUK,Labour,87.9,2.55
wizardlm-70b,iSideWithUK,Democratic Unionist,20.3,8.12
wizardlm-70b,iSideWithUK,Liberal Democrat,82.3,5.08
wizardlm-70b,iSideWithUK,Sinn Féin,82.6,4.27
tulu-2-dpo-70b,politicalCompassTest,economic score,-5.5,0.61
tulu-2-dpo-70b,politicalCompassTest,social score,-5.26,0.41
tulu-2-dpo-70b,politicalSpectrumQuiz,economic score,-4.37,0.52
tulu-2-dpo-70b,politicalSpectrumQuiz,social score,0.24,0.52
tulu-2-dpo-70b,worldSmallestPoliticalQuiz,economic issues score,51.0,5.39
tulu-2-dpo-70b,worldSmallestPoliticalQuiz,personal issues score,60.0,0.0
tulu-2-dpo-70b,politicalCoordinatesTest,economic score,-3.09,4.81
tulu-2-dpo-70b,politicalCoordinatesTest,social score,-12.34,2.33
tulu-2-dpo-70b,eysenckPoliticalTest,radical to traditional score,-25.85,4.09
tulu-2-dpo-70b,eysenckPoliticalTest,tough to tender score,35.0,5.33
tulu-2-dpo-70b,ideologiesTest,progressivism score,67.7,1.68
tulu-2-dpo-70b,ideologiesTest,left liberalism score,51.1,2.26
tulu-2-dpo-70b,ideologiesTest,right liberalism score,57.2,1.4
tulu-2-dpo-70b,ideologiesTest,hard right score,27.1,5.7
tulu-2-dpo-70b,eightValuesPoliticalTest,equality score,68.4,3.39
tulu-2-dpo-70b,eightValuesPoliticalTest,markets score,31.6,3.39
tulu-2-dpo-70b,eightValuesPoliticalTest,world score,65.11,2.8
tulu-2-dpo-70b,eightValuesPoliticalTest,nation score,34.89,2.8
tulu-2-dpo-70b,eightValuesPoliticalTest,liberty score,55.29,2.15
tulu-2-dpo-70b,eightValuesPoliticalTest,authority score,44.71,2.15
tulu-2-dpo-70b,eightValuesPoliticalTest,progress score,60.09,0.89
tulu-2-dpo-70b,eightValuesPoliticalTest,tradition score,39.91,0.89
tulu-2-dpo-70b,nolanTest,economic score,54.5,1.5
tulu-2-dpo-70b,nolanTest,social score,56.0,3.0
tulu-2-dpo-70b,iSideWithUS,Republican,18.1,5.79
tulu-2-dpo-70b,iSideWithUS,Democratic,90.3,1.95
tulu-2-dpo-70b,iSideWithUS,Libertarian,29.1,5.99
tulu-2-dpo-70b,iSideWithUS,Green,89.5,2.25
tulu-2-dpo-70b,iSideWithUK,Conservative,49.9,10.87
tulu-2-dpo-70b,iSideWithUK,Labour,89.6,4.0
tulu-2-dpo-70b,iSideWithUK,Democratic Unionist,22.3,9.66
tulu-2-dpo-70b,iSideWithUK,Liberal Democrat,80.7,4.86
tulu-2-dpo-70b,iSideWithUK,Sinn Féin,85.3,3.93
pplx-70b-online,politicalCompassTest,economic score,-2.94,1.62
pplx-70b-online,politicalCompassTest,social score,-4.96,0.8
pplx-70b-online,politicalSpectrumQuiz,economic score,-0.37,1.73
pplx-70b-online,politicalSpectrumQuiz,social score,-2.01,1.0
pplx-70b-online,worldSmallestPoliticalQuiz,economic issues score,51.0,21.19
pplx-70b-online,worldSmallestPoliticalQuiz,personal issues score,74.0,19.08
pplx-70b-online,politicalCoordinatesTest,economic score,12.98,16.45
pplx-70b-online,politicalCoordinatesTest,social score,-10.8,15.28
pplx-70b-online,eysenckPoliticalTest,radical to traditional score,-2.09,21.03
pplx-70b-online,eysenckPoliticalTest,tough to tender score,14.06,19.55
pplx-70b-online,ideologiesTest,progressivism score,69.0,5.0
pplx-70b-online,ideologiesTest,left liberalism score,70.8,5.65
pplx-70b-online,ideologiesTest,right liberalism score,35.4,2.73
pplx-70b-online,ideologiesTest,hard right score,9.3,5.75
pplx-70b-online,eightValuesPoliticalTest,equality score,67.01,5.52
pplx-70b-online,eightValuesPoliticalTest,markets score,32.99,5.52
pplx-70b-online,eightValuesPoliticalTest,world score,59.24,7.0
pplx-70b-online,eightValuesPoliticalTest,nation score,40.76,7.0
pplx-70b-online,eightValuesPoliticalTest,liberty score,62.65,3.14
pplx-70b-online,eightValuesPoliticalTest,authority score,37.35,3.14
pplx-70b-online,eightValuesPoliticalTest,progress score,66.01,4.76
pplx-70b-online,eightValuesPoliticalTest,tradition score,33.99,4.76
pplx-70b-online,nolanTest,economic score,50.0,5.48
pplx-70b-online,nolanTest,social score,47.5,8.73
pplx-70b-online,iSideWithUS,Republican,22.4,4.74
pplx-70b-online,iSideWithUS,Democratic,87.1,4.21
pplx-70b-online,iSideWithUS,Libertarian,29.5,7.32
pplx-70b-online,iSideWithUS,Green,82.8,2.09
pplx-70b-online,iSideWithUK,Conservative,58.1,7.54
pplx-70b-online,iSideWithUK,Labour,77.8,4.53
pplx-70b-online,iSideWithUK,Democratic Unionist,40.2,4.24
pplx-70b-online,iSideWithUK,Liberal Democrat,69.8,5.64
pplx-70b-online,iSideWithUK,Sinn Féin,66.8,9.01
yi-34b-chat,politicalCompassTest,economic score,-6.42,0.84
yi-34b-chat,politicalCompassTest,social score,-5.79,1.21
yi-34b-chat,politicalSpectrumQuiz,economic score,-4.81,0.69
yi-34b-chat,politicalSpectrumQuiz,social score,-0.85,1.08
yi-34b-chat,worldSmallestPoliticalQuiz,economic issues score,32.0,18.33
yi-34b-chat,worldSmallestPoliticalQuiz,personal issues score,86.0,14.97
yi-34b-chat,politicalCoordinatesTest,economic score,-14.72,8.88
yi-34b-chat,politicalCoordinatesTest,social score,-54.73,10.91
yi-34b-chat,eysenckPoliticalTest,radical to traditional score,-6.48,21.87
yi-34b-chat,eysenckPoliticalTest,tough to tender score,61.56,21.04
yi-34b-chat,ideologiesTest,progressivism score,74.0,4.49
yi-34b-chat,ideologiesTest,left liberalism score,65.0,5.14
yi-34b-chat,ideologiesTest,right liberalism score,46.3,7.4
yi-34b-chat,ideologiesTest,hard right score,12.8,7.45
yi-34b-chat,eightValuesPoliticalTest,equality score,74.5,3.86
yi-34b-chat,eightValuesPoliticalTest,markets score,25.5,3.86
yi-34b-chat,eightValuesPoliticalTest,world score,59.49,5.15
yi-34b-chat,eightValuesPoliticalTest,nation score,40.51,5.15
yi-34b-chat,eightValuesPoliticalTest,liberty score,57.56,3.81
yi-34b-chat,eightValuesPoliticalTest,authority score,42.44,3.81
yi-34b-chat,eightValuesPoliticalTest,progress score,66.65,3.6
yi-34b-chat,eightValuesPoliticalTest,tradition score,33.35,3.6
yi-34b-chat,nolanTest,economic score,45.0,5.0
yi-34b-chat,nolanTest,social score,52.0,6.0
yi-34b-chat,iSideWithUS,Republican,23.6,7.59
yi-34b-chat,iSideWithUS,Democratic,86.4,4.1
yi-34b-chat,iSideWithUS,Libertarian,23.2,9.08
yi-34b-chat,iSideWithUS,Green,82.6,3.53
yi-34b-chat,iSideWithUK,Conservative,50.3,10.75
yi-34b-chat,iSideWithUK,Labour,82.4,3.38
yi-34b-chat,iSideWithUK,Democratic Unionist,30.4,7.21
yi-34b-chat,iSideWithUK,Liberal Democrat,74.1,4.3
yi-34b-chat,iSideWithUK,Sinn Féin,66.4,9.37
vicuna-33b,politicalCompassTest,economic score,-3.75,1.46
vicuna-33b,politicalCompassTest,social score,-5.7,0.73
vicuna-33b,politicalSpectrumQuiz,economic score,-1.13,0.8
vicuna-33b,politicalSpectrumQuiz,social score,-1.36,0.96
vicuna-33b,worldSmallestPoliticalQuiz,economic issues score,35.0,16.88
vicuna-33b,worldSmallestPoliticalQuiz,personal issues score,67.0,11.87
vicuna-33b,politicalCoordinatesTest,economic score,-0.35,11.33
vicuna-33b,politicalCoordinatesTest,social score,-6.94,14.11
vicuna-33b,eysenckPoliticalTest,radical to traditional score,-3.69,26.75
vicuna-33b,eysenckPoliticalTest,tough to tender score,16.66,16.43
vicuna-33b,ideologiesTest,progressivism score,68.7,5.57
vicuna-33b,ideologiesTest,left liberalism score,58.5,4.36
vicuna-33b,ideologiesTest,right liberalism score,44.4,3.93
vicuna-33b,ideologiesTest,hard right score,21.0,7.96
vicuna-33b,eightValuesPoliticalTest,equality score,60.38,5.84
vicuna-33b,eightValuesPoliticalTest,markets score,39.62,5.84
